"","Team","year","W/L%","Conference","MadePlayoffs","EFG","Opp_EFG","TTP","DTTP","ORebRate","DRebRate","FTR","OFTR"
"667","Oklahoma City Thunder",2015,0.549,"West","No",0.491642084562439,0.488798515981735,0.228314828148092,0.219853693070086,0.267344345616264,0.724955391282182,0.214075010535188,0.213184931506849
"668","Oklahoma City Thunder",2010,0.61,"West","Yes",0.493588776587721,0.48340279845192,0.23316357555488,0.241188251521551,0.269209197980931,0.70250606305578,0.268215417106653,0.229383745162251
"669","Oklahoma City Thunder",2011,0.671,"West","Yes",0.500756544106521,0.493038252967903,0.219004099696122,0.221712420514558,0.254868755292125,0.703783783783784,0.299137539718566,0.228198739557379
"670","Oklahoma City Thunder",2012,0.712,"West","Yes",0.515968636450564,0.464647361875999,0.250443324141901,0.233644859813084,0.262378026743766,0.669044665012407,0.268885064065787,0.207319239651803
"671","Oklahoma City Thunder",2013,0.732,"West","Yes",0.52659901599016,0.469162363740677,0.234414170364661,0.244447492194622,0.252812314979278,0.680229655516725,0.279674046740467,0.196787148594378
"672","Oklahoma City Thunder",2014,0.72,"West","Yes",0.519905632556768,0.487649809997077,0.234640044237868,0.242461921044451,0.247212931995541,0.720839813374806,0.243733411972869,0.220988015200234
"673","Oklahoma City Thunder",2016,0.671,"West","Yes",0.5240045184976,0.484357619577308,0.233599690681789,0.210401891252955,0.288679245283019,0.721425037110341,0.228184128777182,0.204949944382647
"674","Orlando Magic",1990,0.22,"East","No",0.467109634551495,0.510764470800567,0.232063334982682,0.196735739894643,0.32055063913471,0.633187772925764,0.27375415282392,0.244553306690731
"675","Orlando Magic",1991,0.378,"West","No",0.473125689084895,0.493017146017699,0.241255151170374,0.21139846609969,0.311520970186963,0.642932768660667,0.250551267916207,0.259817477876106
"676","Orlando Magic",1992,0.256,"East","No",0.467262742889327,0.501561391057488,0.247729591290762,0.220304786732487,0.301648634724369,0.643547941420282,0.238383553928471,0.259758694109297
"677","Orlando Magic",1993,0.5,"East","No",0.509168157423971,0.472915230875258,0.247069400739998,0.205674332431479,0.301361924079977,0.649949341438703,0.271466905187835,0.23184011026878
"678","Orlando Magic",1998,0.5,"East","No",0.451975213013168,0.477786377708978,0.253132973286221,0.253454551310958,0.319761129207383,0.624079320113314,0.240433772269558,0.201547987616099
